#Model files used:	unknown
#Model used:	TIEGCM
#Coordinates:	GDZ	sph
#utc_time	c1	c2	c3
#[s]	[R_E]	[R_E]	[R_E]
1679474854.799000	-89.099213	35.763264	107.000008
1679474925.665000	-86.427795	32.797703	107.000000
1679474971.235000	-84.613068	30.503960	107.000008
1679475042.015000	-82.431213	27.324013	107.000008
1679475085.055000	-81.022522	25.021828	107.000000
1679475155.523000	-79.227692	21.706678	107.000000
1679475242.770000	-77.056824	17.023794	106.999992
1679475313.204000	-75.686798	13.551551	106.999992
1679475356.593000	-74.786102	11.033261	107.000000
1679475426.888000	-73.661926	7.479752	106.999992
1679475472.943000	-72.879547	4.758143	107.000000
1679475543.524000	-71.961914	1.118703	107.000000
1679475586.767000	-71.349396	-1.487554	107.000000
1679475657.176000	-70.599426	-5.166073	107.000000
1679475717.494000	-69.958801	-8.772318	107.000000
1679475788.599000	-69.381073	-12.530513	107.000000
1679475831.233000	-69.028687	-15.172169	107.000000
1679475902.410000	-68.584015	-18.969151	107.000000
1679475948.378000	-68.316406	-21.819263	107.000008
1679476018.280000	-68.023804	-25.568237	107.000000
1679476061.705000	-67.860107	-28.287966	107.000000
1679476131.895000	-67.725159	-32.070320	107.000000
1679476192.210000	-67.661987	-35.766838	107.000000
1679476263.313000	-67.702576	-39.610607	107.000000
1679476306.355000	-67.799927	-42.315830	107.000000
1679476375.837000	-68.036011	-46.069939	107.000000
1679476422.306000	-68.331970	-48.977219	107.000000
1679476492.651000	-68.886627	-52.773808	107.000008
1679476535.306000	-69.404297	-55.454109	107.000000
1679476606.103000	-70.397217	-59.260170	107.000000
1679476666.745000	-71.754517	-62.938461	107.000000
1679476736.396000	-73.677612	-66.632217	107.000000
1679476779.648000	-75.563538	-69.267853	107.000000
